date,connection,population,actual_limit,factor,consumption,sarima_prediction,arima_prediction
2017-01-01,4037,19373,2615355,1.1936398338709262,3121791,0.0,0.0
2017-01-02,4038,19378,2616030,1.167477854941382,3054157,3119735.253679148,1910481.691900631
2017-01-03,4039,19383,2616705,1.145278938100489,2996857,3085233.567947715,2325394.265828715
2017-01-04,4039,19383,2616705,1.1181817534463494,2925951,3051638.03908336,2539720.581902082
2017-01-05,4040,19387,2617245,1.136098605316398,2973448,3010615.178492537,2650417.361544577
2017-01-06,4041,19392,2617920,1.141658878873986,2988771,3000099.806927989,2755766.4828452403
2017-01-07,4042,19397,2618595,1.1844641384950505,3101631,2996163.0399053497,2828006.941204841
2017-01-08,4043,19402,2619270,1.156201606187887,3028404,3025644.367322464,2926121.0714311274
2017-01-09,4044,19407,2619945,1.1573298696272494,3032140,3025284.74081563,2945931.8412761735
2017-01-10,4047,19421,2621835,1.1729251700355348,3075216,3028210.116098446,2972624.839953917
2017-01-11,4048,19426,2622510,1.1377732467360964,2983821,3039499.9759611334,3013171.359491961
2017-01-12,4049,19431,2623185,1.125718813217469,2952968,3025560.703549456,3017426.0859018937
2017-01-13,4050,19435,2623725,1.1575574832755513,3037112,3004937.86892881,2940469.8262463165
2017-01-14,4050,19435,2623725,1.145179801656187,3004636,3014696.5406769076,2989675.251852914
2017-01-15,4050,19435,2623725,1.1857466890349753,3111073,3011144.760870973,2990122.68805492
2017-01-16,4051,19440,2624400,1.195000052763455,3136158,3039275.046365998,3042485.2109183334
2017-01-17,4051,19440,2624400,1.135650930437324,2980402,3063081.967745797,3072988.3402108867
2017-01-18,4051,19440,2624400,1.1732792004327208,3079153,3042275.3438893934,3022696.2038832186
2017-01-19,4052,19445,2625075,1.153503032476014,3028031,3050467.33759551,3052079.762760581
2017-01-20,4052,19445,2625075,1.1459512515482804,3008207,3045398.995525768,3038906.5809238134
2017-01-21,4053,19450,2625750,1.11671134491925,2932204,3034990.3546367497,3026628.4398013055
2017-01-22,4054,19455,2626425,1.1807311634131872,3101101,3007797.9134530784,2986470.887786835
2017-01-23,4054,19455,2626425,1.1419918257254285,2999355,3032926.692380588,3043774.0347455833
2017-01-24,4055,19459,2626965,1.1128878710342751,2923517,3023675.653930628,2996504.121703447
2017-01-25,4057,19469,2628315,1.1680162370499667,3069914,2996682.541796741,3002040.2463011555
2017-01-26,4058,19474,2628990,1.1383181368987942,2992626,3016301.9965107935,3038061.3331844383
2017-01-27,4058,19474,2628990,1.1554517179364991,3037671,3009462.120879202,3011024.880124678
2017-01-28,4059,19479,2629665,1.1736514937666072,3086310,3017481.3611409697,3024607.3177918075
2017-01-29,4059,19479,2629665,1.156697628889866,3041727,3035862.866403446,3053161.6922267214
2017-01-30,4059,19479,2629665,1.1847420017450638,3115474,3036932.024094376,3041467.640303461
2017-01-31,4059,19479,2629665,1.1797225522038666,3102275,3057259.5946986666,3076483.464775019
2017-02-01,4061,19488,2630880,1.196305254621763,3147335,3069522.7800351162,3081346.0204135585
2017-02-02,4061,19488,2630880,1.1855417573372882,3119018,3090675.4120511333,3108832.4412358827
2017-02-03,4062,19493,2631555,1.1641288558844043,3063469,3096540.508973273,3105712.7200058075
2017-02-04,4062,19493,2631555,1.1355100305496253,2988157,3089113.889957872,3088036.4352421565
2017-02-05,4064,19503,2632905,1.1444561249969407,3013244,3062600.1480879574,3062711.2025672398
2017-02-06,4065,19507,2633445,1.1716798504297792,3085554,3048143.526463176,3020861.284951645
2017-02-07,4065,19507,2633445,1.1626999340793618,3061906,3058507.8056165185,3056163.1532439906
2017-02-08,4066,19512,2634120,1.1796834204889206,3107427,3059002.721826596,3055246.2501276475
2017-02-09,4068,19522,2635470,1.189132059522778,3133921,3071551.696371734,3077353.4740431802
2017-02-10,4068,19522,2635470,1.1660644483097378,3073127,3088939.822292,3096426.2164354394
2017-02-11,4068,19522,2635470,1.1673235404706437,3076446,3083399.034159311,3080744.1979406537
2017-02-12,4069,19527,2636145,1.182101677698952,3116191,3081585.1740212548,3078598.3185723787
2017-02-13,4070,19531,2636685,1.1271115947030697,2971838,3090586.103794223,3095440.937392664
2017-02-14,4070,19531,2636685,1.182734676489575,3118498,3059618.5509359916,3037288.106164592
2017-02-15,4071,19536,2637360,1.1480869452786873,3027918,3074788.7961143586,3085038.3958392106
2017-02-16,4072,19541,2638035,1.1498948096215436,3033462,3062829.6336069764,3053753.764792646
2017-02-17,4073,19546,2638710,1.1152012987695483,2942692,3056521.9666130035,3036650.62077556
2017-02-18,4075,19555,2639925,1.1772550318681037,3107864,3022922.4675726974,3017421.486944645
2017-02-19,4075,19555,2639925,1.1757859303450104,3103986,3048085.700128532,3064701.1221678355
2017-02-20,4075,19555,2639925,1.1111714542715765,2933409,3059963.043515339,3074400.8287545503
2017-02-21,4075,19555,2639925,1.1531793301405386,3044306,3027943.8847167096,3007426.062109781
2017-02-22,4075,19555,2639925,1.153169531200992,3044281,3032093.220173931,3036689.3683455368
2017-02-23,4076,19560,2640600,1.1770538266924948,3108128,3035234.5921348403,3038678.902090108
2017-02-24,4076,19560,2640600,1.175086561308221,3102933,3053103.4250776633,3068972.6759128557
2017-02-25,4076,19560,2640600,1.1587771391798267,3059866,3068054.141367725,3080674.27690162
2017-02-26,4076,19560,2640600,1.1923924728435964,3148631,3064650.918577027,3065974.983031941
2017-02-27,4078,19570,2641950,1.1270253940664503,2977544,3087604.628213918,3103450.34071059
2017-02-28,4079,19575,2642625,1.185883112972376,3133844,3058260.2117816797,3041740.982851218
2017-03-01,4080,19579,2643165,1.1873984194955365,3138489,3081175.9888114207,3102092.05142457
2017-03-02,4081,19584,2643840,1.1235345912137793,2970445,3090978.621232874,3094558.981555136
2017-03-03,4081,19584,2643840,1.1899542600861346,3146048,3062087.798599094,3036385.2156086923
2017-03-04,4082,19589,2644515,1.1134223806750796,2944462,3083033.1663981397,3098149.044926285
2017-03-05,4082,19589,2644515,1.130077425492493,2988506,3046147.3100113203,3021330.8159356588
2017-03-06,4082,19589,2644515,1.1965563173160838,3164311,3031615.5052513997,3016677.3589567128
2017-03-07,4084,19599,2645865,1.1244933723593136,2975257,3065767.3379074563,3085276.383460651
2017-03-08,4085,19603,2646405,1.1189057157266822,2961077,3040246.315181971,3025021.6975805354
2017-03-09,4085,19603,2646405,1.138747505816153,3013587,3021895.941244968,3002878.0737073175
2017-03-10,4085,19603,2646405,1.1607696084403207,3071866,3017386.415630712,3013914.9079119186
2017-03-11,4086,19608,2647080,1.173357870250899,3105972,3033864.5331798904,3042409.4753022096
2017-03-12,4086,19608,2647080,1.1547406998949323,3056691,3051824.7197529217,3063003.757765173
2017-03-13,4087,19613,2647755,1.1343993714168403,3003611,3055122.074386719,3046604.760070342
2017-03-14,4087,19613,2647755,1.1617389908711602,3076000,3038461.1799938986,3042839.639670453
2017-03-15,4087,19613,2647755,1.1568421490162253,3063034,3049629.2490189234,3057818.9519916717
2017-03-16,4087,19613,2647755,1.121591179203106,2969698,3052977.70073673,3058268.480117972
2017-03-17,4088,19618,2648430,1.152331018957493,3051868,3031211.966081656,3018660.243209451
2017-03-18,4088,19618,2648430,1.120647921154216,2967957,3035444.514800652,3038877.6388240466
2017-03-19,4089,19623,2649105,1.1713527849755194,3103036,3018170.246938326,3009526.5580316787
2017-03-20,4090,19627,2649645,1.1589045388743593,3070685,3039889.2730601993,3056789.1957788155
2017-03-21,4091,19632,2650320,1.1736416478216702,3110525,3048877.568574529,3056181.7343404647
2017-03-22,4091,19632,2650320,1.1597399105918145,3073681,3064059.991932833,3077164.918326097
2017-03-23,4092,19637,2650995,1.1802656825938174,3128878,3066856.4606298474,3068267.0412102793
2017-03-24,4092,19637,2650995,1.1855162124289471,3142797,3084192.4727065493,3097507.669665383
2017-03-25,4092,19637,2650995,1.1704587592156095,3102880,3100273.06115533,3119119.8406167524
2017-03-26,4094,19647,2652345,1.1176450845387391,2964380,3099220.1684059086,3094825.6941090752
2017-03-27,4094,19647,2652345,1.1971511962731192,3175257,3062868.542473915,3040346.6080163727
2017-03-28,4095,19651,2652885,1.1584224353815114,3073161,3095631.787314017,3111907.7119618403
2017-03-29,4095,19651,2652885,1.1148676574974985,2957615,3086327.014189622,3083865.2169863596
2017-03-30,4095,19651,2652885,1.1922938612039329,3163018,3054423.3180883937,3032273.3121426622
2017-03-31,4096,19656,2653560,1.190629164957366,3159405,3080962.791383507,3095806.752135724
2017-04-01,4096,19656,2653560,1.1471094272979223,3043923,3102362.6418262976,3115042.2881393284
2017-04-02,4096,19656,2653560,1.168910065865628,3101772,3086435.7284736494,3076437.348354171
2017-04-03,4097,19661,2654235,1.1901461577383838,3158927,3090813.5588939544,3093734.7955631646
2017-04-04,4097,19661,2654235,1.1834326062673013,3141108,3107668.6721434626,3122307.1063026027
2017-04-05,4098,19666,2654910,1.123850951764756,2983723,3118048.910481989,3122790.2756791394
2017-04-06,4098,19666,2654910,1.1562928484570978,3069853,3082326.905444126,3054690.188633389
2017-04-07,4098,19666,2654910,1.1431687714975287,3035010,3079649.7518973453,3083942.995715472
2017-04-08,4098,19666,2654910,1.1444514511142985,3038415,3064389.2132035736,3057540.8282941426
2017-04-09,4099,19671,2655585,1.1893406945742748,3158395,3061959.8381002885,3053810.1130726845
2017-04-10,4101,19680,2656800,1.1374063626975344,3021861,3084799.9038109872,3105095.358568504
2017-04-11,4101,19680,2656800,1.1546319517487418,3067626,3068675.052255577,3055096.354901189
2017-04-12,4101,19680,2656800,1.1174955225063314,2968962,3066433.755883455,3069848.628086939
2017-04-13,4101,19680,2656800,1.1530284095026804,3063365,3041925.4069451266,3026651.3226958443
2017-04-14,4101,19680,2656800,1.195347175837628,3175798,3047293.325592984,3050658.21774976
2017-04-15,4103,19690,2658150,1.1566205212508511,3074470,3080475.5949825966,3102387.9341035755
2017-04-16,4103,19690,2658150,1.1563133613814829,3073654,3078318.1719076815,3079055.6915328396
2017-04-17,4104,19695,2658825,1.189786346634222,3163433,3079381.697438347,3081572.188213004
2017-04-18,4105,19699,2659365,1.132273542918392,3011128,3101411.7979779486,3120165.221337239
2017-04-19,4105,19699,2659365,1.1894308666175952,3163130,3076993.72935668,3057305.6568558863
2017-04-20,4105,19699,2659365,1.1140313749915003,2962616,3098703.8602447277,3115774.8061859976
2017-04-21,4105,19699,2659365,1.14291928531415,3039439,3063220.6286650198,3038225.2160624107
2017-04-22,4106,19704,2660040,1.1901603907592164,3165874,3058437.582378274,3050093.9658335256
2017-04-23,4106,19704,2660040,1.1764516803332503,3129408,3084400.0666288747,3105859.2163524334
2017-04-24,4107,19709,2660715,1.126073178828227,2996159,3097120.896158954,3105900.1141303633
2017-04-25,4107,19709,2660715,1.1882159321271764,3161503,3069126.351236223,3051452.9109768546
2017-04-26,4107,19709,2660715,1.108792869665313,2950181,3094735.2760796132,3107142.4418395557
2017-04-27,4107,19709,2660715,1.1113449477619637,2956972,3053436.201774471,3032921.044141253
2017-04-28,4107,19709,2660715,1.118982467002577,2977293,3030964.476009414,3011396.489189435
2017-04-29,4107,19709,2660715,1.1404080953938271,3034300,3014514.9428238035,2999721.407238482
2017-04-30,4108,19714,2661390,1.177840348297041,3134692,3024149.169495716,3019914.9882567045
2017-05-01,4108,19714,2661390,1.1872661278026728,3159778,3048827.322881292,3072075.320056219
2017-05-02,4108,19714,2661390,1.1956417830411945,3182069,3080894.478990951,3101489.9461777695
2017-05-03,4108,19714,2661390,1.2192000203157218,3244766,3105929.2469012802,3129148.203866118
2017-05-04,4108,19714,2661390,1.2020181477012422,3199039,3144746.0945827095,3170554.7419660636
2017-05-05,4110,19723,2662605,1.1784316725813937,3137698,3155420.3748515714,3170933.643833924
2017-05-06,4110,19723,2662605,1.19767203256421,3188927,3154173.3762531118,3155310.483962218
2017-05-07,4110,19723,2662605,1.2181712126953257,3243508,3159662.447118274,3171745.784811872
2017-05-08,4111,19728,2663280,1.1737783954478176,3126100,3185207.0672435765,3205378.192158769
2017-05-09,4111,19728,2663280,1.1647996080335008,3102187,3166076.1036374927,3161860.0712919342
2017-05-10,4111,19728,2663280,1.1552104296424206,3076648,3152300.583967216,3140397.6686713463
2017-05-11,4111,19728,2663280,1.1566610730151765,3080512,3129423.516075006,3120316.5305815246
2017-05-12,4112,19733,2663955,1.2094928557254652,3222034,3120352.7989772446,3106453.8716394193
2017-05-13,4113,19738,2664630,1.1822242785382189,3150190,3142605.6074448708,3158585.7184806024
2017-05-14,4114,19743,2665305,1.193277667660836,3180448,3146901.5492559024,3145503.3988495176
2017-05-15,4115,19747,2665845,1.1690136429700675,3116409,3154020.6288450314,3158963.5012573437
2017-05-16,4115,19747,2665845,1.1905418186377104,3173799,3145693.462957841,3139343.7296248046
2017-05-17,4116,19752,2666520,1.2176877832020505,3246988,3150981.44758025,3159802.456271949
2017-05-18,4116,19752,2666520,1.1901019099758838,3173430,3178372.4699648907,3193028.8851291044
2017-05-19,4116,19752,2666520,1.1715568441092878,3123979,3173706.7010190617,3176506.769370147
2017-05-20,4116,19752,2666520,1.172363664490435,3126131,3163997.125139513,3152387.2488402217
2017-05-21,4116,19752,2666520,1.174079667651654,3130706,3151605.846473486,3147178.397082295
2017-05-22,4116,19752,2666520,1.2221636543740997,3258923,3148213.3298715604,3143520.789607502
2017-05-23,4116,19752,2666520,1.1583305062449876,3088711,3176034.321243652,3194421.724039766
2017-05-24,4117,19757,2667195,1.2005314170801926,3202051,3153892.006471743,3138047.1789911087
2017-05-25,4118,19762,2667870,1.20547468467921,3216049,3164834.245919301,3177027.2601550296
2017-05-26,4118,19762,2667870,1.1548627405202376,3081023,3178401.1963839796,3190088.874139191
2017-05-27,4118,19762,2667870,1.165390845721168,3109111,3152797.627296364,3140099.3996634246
2017-05-28,4118,19762,2667870,1.1911951040093611,3177953,3141442.7126932354,3132252.288420933
2017-05-29,4120,19771,2669085,1.1853954237165916,3163921,3149413.0857677795,3153444.2752629966
2017-05-30,4120,19771,2669085,1.2258765634296027,3271968,3154584.9491416602,3158242.1467101183
2017-05-31,4121,19776,2669760,1.2180323722223594,3251854,3184269.069746048,3208289.3481499855
2017-06-01,4121,19776,2669760,1.2258026971687443,3272599,3203647.5345077245,3219115.6548536886
2017-06-02,4122,19781,2670435,1.188537563226873,3173912,3221425.0605888697,3236247.474478944
2017-06-03,4123,19786,2671110,1.2278574518199592,3279742,3208117.6675408306,3200999.141173127
2017-06-04,4123,19786,2671110,1.235941300655022,3301335,3228850.0391165745,3244170.9997923095
2017-06-05,4124,19791,2671785,1.1885502092140807,3175550,3246504.807564148,3262292.3630185686
2017-06-06,4124,19791,2671785,1.1722818313731724,3132085,3226888.899801842,3215691.920814577
2017-06-07,4125,19795,2672325,1.1887157601991425,3176634,3202025.4707000237,3187093.043101576
2017-06-08,4125,19795,2672325,1.2014329337935248,3210619,3196254.686954363,3188249.1827993174
2017-06-09,4126,19800,2673000,1.1691287529472336,3125081,3198525.3947013207,3200889.9535024255
2017-06-10,4127,19805,2673675,1.2068472681494742,3226717,3178586.60062087,3168096.4405707796
