date,actual consumption,predicted_consumption,population,demand
2017-01-01,3121791,3107430.2,,
2017-01-02,3054157,3029603.0,,
2017-01-03,2996857,2999093.2,,
2017-01-04,2925951,2959689.8,,
2017-01-05,2973448,2988117.2,,
2017-01-06,2988771,3018546.2,,
2017-01-07,3101631,2988605.0,,
2017-01-08,3028404,3037247.0,,
2017-01-09,3032140,3034087.8,,
2017-01-10,3075216,2995211.0,,
2017-01-11,2983821,2980800.8,,
2017-01-12,2952968,2979237.0,,
2017-01-13,3037112,3025556.8,,
2017-01-14,3004636,3034149.0,,
2017-01-15,3111073,3065331.5,,
2017-01-16,3136158,3075547.5,,
2017-01-17,2980402,3006435.5,,
2017-01-18,3079153,2994740.0,,
2017-01-19,3028031,2986257.5,,
2017-01-20,3008207,3017451.8,,
2017-01-21,2932204,2984666.2,,
2017-01-22,3101101,3085978.5,,
2017-01-23,2999355,3007695.0,,
2017-01-24,2923517,2989800.8,,
2017-01-25,3069914,3030407.0,,
2017-01-26,2992626,3007448.5,,
2017-01-27,3037671,3016265.8,,
2017-01-28,3086310,3058876.0,,
2017-01-29,3041727,3056392.2,,
2017-01-30,3115474,3096766.5,,
2017-01-31,3102275,3103058.0,,
2017-02-01,3147335,3121558.5,,
2017-02-02,3119018,3064142.2,,
2017-02-03,3063469,3077736.2,,
2017-02-04,2988157,3032232.0,,
2017-02-05,3013244,3027681.0,,
2017-02-06,3085554,3073307.5,,
2017-02-07,3061906,3032501.2,,
2017-02-08,3107427,3063959.8,,
2017-02-09,3133921,3065852.5,,
2017-02-10,3073127,3068577.8,,
2017-02-11,3076446,3072609.0,,
2017-02-12,3116191,3093335.0,,
2017-02-13,2971838,3022268.0,,
2017-02-14,3118498,3055348.5,,
2017-02-15,3027918,3049505.8,,
2017-02-16,3033462,3052061.0,,
2017-02-17,2942692,3064870.2,,
2017-02-18,3107864,3075594.5,,
2017-02-19,3103986,3081998.0,,
2017-02-20,2933409,3011947.2,,
