,Date,connection,population,actual_limit,factor,consumption
0,2017-01-01,4037,19373,2615355,1.1936398338709262,3121791
1,2017-01-02,4038,19378,2616030,1.167477854941382,3054157
2,2017-01-03,4039,19383,2616705,1.145278938100489,2996857
3,2017-01-04,4039,19383,2616705,1.1181817534463494,2925951
4,2017-01-05,4040,19387,2617245,1.136098605316398,2973448
5,2017-01-06,4041,19392,2617920,1.141658878873986,2988771
6,2017-01-07,4042,19397,2618595,1.1844641384950505,3101631
7,2017-01-08,4043,19402,2619270,1.156201606187887,3028404
8,2017-01-09,4044,19407,2619945,1.1573298696272494,3032140
9,2017-01-10,4047,19421,2621835,1.1729251700355348,3075216
10,2017-01-11,4048,19426,2622510,1.1377732467360964,2983821
11,2017-01-12,4049,19431,2623185,1.125718813217469,2952968
12,2017-01-13,4050,19435,2623725,1.1575574832755513,3037112
13,2017-01-14,4050,19435,2623725,1.145179801656187,3004636
14,2017-01-15,4050,19435,2623725,1.1857466890349753,3111073
15,2017-01-16,4051,19440,2624400,1.195000052763455,3136158
16,2017-01-17,4051,19440,2624400,1.135650930437324,2980402
17,2017-01-18,4051,19440,2624400,1.1732792004327208,3079153
18,2017-01-19,4052,19445,2625075,1.153503032476014,3028031
19,2017-01-20,4052,19445,2625075,1.1459512515482804,3008207
20,2017-01-21,4053,19450,2625750,1.11671134491925,2932204
21,2017-01-22,4054,19455,2626425,1.1807311634131872,3101101
22,2017-01-23,4054,19455,2626425,1.1419918257254285,2999355
23,2017-01-24,4055,19459,2626965,1.1128878710342751,2923517
24,2017-01-25,4057,19469,2628315,1.1680162370499667,3069914
25,2017-01-26,4058,19474,2628990,1.1383181368987942,2992626
26,2017-01-27,4058,19474,2628990,1.1554517179364991,3037671
27,2017-01-28,4059,19479,2629665,1.1736514937666072,3086310
28,2017-01-29,4059,19479,2629665,1.156697628889866,3041727
29,2017-01-30,4059,19479,2629665,1.1847420017450638,3115474
30,2017-01-31,4059,19479,2629665,1.1797225522038666,3102275
31,2017-02-01,4061,19488,2630880,1.196305254621763,3147335
32,2017-02-02,4061,19488,2630880,1.1855417573372882,3119018
33,2017-02-03,4062,19493,2631555,1.1641288558844043,3063469
34,2017-02-04,4062,19493,2631555,1.1355100305496253,2988157
35,2017-02-05,4064,19503,2632905,1.1444561249969407,3013244
36,2017-02-06,4065,19507,2633445,1.1716798504297792,3085554
37,2017-02-07,4065,19507,2633445,1.1626999340793618,3061906
38,2017-02-08,4066,19512,2634120,1.1796834204889206,3107427
39,2017-02-09,4068,19522,2635470,1.189132059522778,3133921
